"region_id","region","region_alias","province_id","province","city_id","city","barangay_id","barangay","population"
1,"Ilocos Region","Region I",1,"Ilocos Norte",1,"Adams",1,"Adams (Pob.)",1785
1,"Ilocos Region","Region I",1,"Ilocos Norte",1,"Adams",44235,"D",0
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",2,"Bani",948
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",3,"Buyon",1524
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",4,"Cabaruan",1437
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",5,"Cabulalaan",748
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",6,"Cabusligan",1036
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",7,"Cadaratan",1156
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",8,"Calioet-Libong",753
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",9,"Casilian",901
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",10,"Corocor",741
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",11,"Duripes",989
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",12,"Ganagan",734
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",13,"Libtong",1547
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",14,"Macupit",635
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",15,"Nambaran",965
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",16,"Natba",501
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",17,"Paninaan",401
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",18,"Pasiocan",1162
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",19,"Pasngal",685
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",20,"Pipias",983
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",21,"Pulangi",1076
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",22,"Pungto",551
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",23,"San Agustin I (Pob.)",475
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",24,"San Agustin II (Pob.)",270
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",25,"San Andres I (Pob.)",730
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",26,"San Andres II (Pob.)",817
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",27,"San Gabriel I (Pob.)",254
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",28,"San Gabriel II (Pob.)",426
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",29,"San Pedro I (Pob.)",379
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",30,"San Pedro II (Pob.)",403
1,"Ilocos Region","Region I",1,"Ilocos Norte",2,"Bacarra",31,"San Roque I (Pob.)",496
